trials.thisRepN,tilt,key_resp.keys,key_resp.corr,,hit,miss,false alarm,correct rejection
0,-5,down,1,,,,,1
1,2,down,1,,,,,1
2,0,up,1,,1,,,
3,0,down,0,,,1,,
4,4,down,1,,,,,1
5,-2,down,1,,,,,1
6,1,up,0,,,,1,
7,0,up,1,,1,,,
8,0,up,1,,1,,,
9,0,up,1,,1,,,
10,-5,down,1,,,,,1
11,0,up,1,,1,,,
12,4,down,1,,,,,1
13,0,up,1,,1,,,
14,-4,down,1,,,,,1
15,-4,down,1,,,,,1
16,-3,down,1,,,,,1
17,2,down,1,,,,,1
18,2,down,1,,,,,1
19,3,down,1,,,,,1
20,3,down,1,,,,,1
21,0,down,0,,,1,,
22,-3,down,1,,,,,1
23,-3,down,1,,,,,1
24,4,down,1,,,,,1
25,0,up,1,,1,,,
26,2,down,1,,,,,1
27,-3,down,1,,,,,1
28,0,up,1,,1,,,
29,-4,down,1,,,,,1
30,2,up,0,,,,1,
31,-2,up,0,,,,1,
32,0,down,0,,,1,,
33,-3,down,1,,,,,1
34,0,down,0,,,1,,
35,0,down,0,,,1,,
36,0,down,0,,,1,,
37,4,up,0,,,,1,
38,-2,down,1,,,,,1
39,0,up,1,,1,,,
40,4,down,1,,,,,1
41,3,up,0,,,,1,
42,4,down,1,,,,,1
43,-4,down,1,,,,,1
44,1,up,0,,,,1,
45,-4,down,1,,,,,1
46,0,up,1,,1,,,
47,0,up,1,,1,,,
48,0,up,1,,1,,,
49,0,up,1,,1,,,
50,0,up,1,,1,,,
51,4,down,1,,,,,1
52,3,up,0,,,,1,
53,4,down,1,,,,,1
54,0,up,1,,1,,,
55,0,down,0,,,1,,
56,3,down,1,,,,,1
57,0,up,1,,1,,,
58,0,up,1,,1,,,
59,0,up,1,,1,,,
60,0,up,1,,1,,,
61,0,up,1,,1,,,
62,3,down,1,,,,,1
63,2,down,1,,,,,1
64,0,up,1,,1,,,
65,-2,down,1,,,,,1
66,0,up,1,,1,,,
67,3,down,1,,,,,1
68,3,down,1,,,,,1
69,0,up,1,,1,,,
70,0,up,1,,1,,,
71,-3,down,1,,,,,1
72,0,down,0,,,1,,
73,0,down,0,,,1,,
74,-5,up,0,,,,1,
75,-3,down,1,,,,,1
76,1,down,1,,,,,1
77,0,up,1,,1,,,
78,-3,down,1,,,,,1
79,0,up,1,,1,,,
80,4,down,1,,,,,1
81,4,down,1,,,,,1
82,-2,down,1,,,,,1
83,1,up,0,,,,1,
84,2,up,0,,,,1,
85,0,down,0,,,1,,
86,-2,down,1,,,,,1
87,0,up,1,,1,,,
88,0,down,0,,,1,,
89,0,up,1,,1,,,
90,0,up,1,,1,,,
91,3,up,0,,,,1,
92,4,up,0,,,,1,
93,0,up,1,,1,,,
94,0,up,1,,1,,,
95,2,down,1,,,,,1
96,0,down,0,,,1,,
97,3,up,0,,,,1,
98,0,up,1,,1,,,
99,2,up,0,,,,1,
,,,,total:,32,12,14,42
,,,,,,,,
,,,,prop hit,0.727272727,,0.604585347,Z value of Hit
,,,,prop false alarm,0.25,,-0.67448975,z value of false alarm
,,,,,,,,
,,,,d' value=,1.279075097,,criterion (c) ,-0.034952202
