trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,Instruction.started,text.started,Instruction.stopped,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,0.0093399,0.0297534,7.0121288,,,,,,,,,,,,,528786,1,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530
0,2,10,7.0755405,,,,,7.012312,7.0755405,7.524679,7.524679,7.524679,12.5298929,1504.449556,right,10,1,1,1496.848746,528786,1,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530
1,2,8,1504.662793,,,,,1504.484351,1504.662793,1505.088341,1505.088341,1505.088341,,1505.826036,left,-8,1,1,0.7266832,528786,1,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530
2,2,6,1505.842324,,,,,1505.826097,1505.842324,1506.325211,1506.325211,1506.325211,,1507.126099,left,-6,1,1,0.7948771,528786,1,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530
3,2,4,1507.142936,,,,,1507.126153,1507.142936,1507.624722,1507.624722,1507.624722,,1508.276571,right,4,1,1,0.6350859,528786,1,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530
4,2,2,1508.291183,,,,,1508.276645,1508.291183,1508.791742,1508.791742,1508.791742,,1509.704371,right,2,1,1,0.8751412,528786,1,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530
5,2,1,1509.719799,,,,,1509.70451,1509.719799,1510.208539,1510.208539,1510.208539,,1510.857765,left,-1,1,1,0.6418186,528786,1,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530
6,2,1,1510.87455,,,,,1510.857824,1510.87455,1511.357148,1511.357148,1511.357148,,1512.54334,left,-1,1,1,1.1753505,528786,1,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530
7,1,1,1512.557991,,,,,1512.54342,1512.557991,1513.057484,1513.057484,1513.057484,,1513.659784,right,1,0,0,0.6001672,528786,1,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530
8,1,2,1513.67466,,,,,1513.660039,1513.67466,1514.176069,1514.176069,1514.176069,,1514.742776,left,-2,1,1,0.5526007,528786,1,2024-09-12_19h29.55.248,Adaptive_Staircase,2024.1.5,None,2024-09-12 19h29.59.275204 +0530
