0,5,1.8066794,['Target'],475266,,,MeanRT participant 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,2.1644698,['Target'],475266,,,MeanRT participant 2,,,,5 distractors,10 distractors,total data set,,,,,,,,,,,,,,,,trials.thisRepN,num_distr,mouse.time,mouse.clicked_name,participant,,2,10,1.4460495,['Target'],475266
2,10,1.4460495,['Target'],475266,,,MeanRT participant 3,,,A,1.931331251,1.921391777,1.922033606,,,,5 distractors,1.54,,,,,,,,,,,0,5,1.8066794,['Target'],475266,,5,10,1.6709632,['Target'],475266
3,5,1.4133482,['Target'],475266,,,MeanRT participant 4,,,B,1.714779666,1.718195072,1.714779666,,,,10 distractors,1.80,,,,,,,,,,,1,5,2.1644698,['Target'],475266,,9,10,1.4289302,['Target'],475266
4,5,1.7136473,['Target'],475266,,1.638885529,MeanRT across all participants,,,C,1.653330983,1.650732122,1.265852304,,,,,,,,,,,,,,,,3,5,1.4133482,['Target'],475266,,11,10,3.0846375,['Target'],475266
5,10,1.6709632,['Target'],475266,,,,,,D,1.265852304,1.267324319,1.650732122,,,,,,,,,,,,,,,,4,5,1.7136473,['Target'],475266,,12,10,2.3916056,['Target'],475266
6,5,1.6300701,['Target'],475266,,,,,,,,,,,trials.thisRepN,num_distr,mouse.time,mouse.clicked_name,participant,,,,,,,,,,6,5,1.6300701,['Target'],475266,,17,10,2.2535125,['Target'],475266
7,5,1.5659875,['Target'],475266,,,,,,,,,,,0,5,1.8066794,['Target'],475266,,,,,,,,,,7,5,1.5659875,['Target'],475266,,20,10,2.5041919,['Target'],475266
8,5,1.5103203,['Target'],475266,,,,,,,,,,,1,5,2.1644698,['Target'],475266,,,,,,,,,,8,5,1.5103203,['Target'],475266,,21,10,2.718237,['Target'],475266
9,10,1.4289302,['Target'],475266,,,,,,,,,,,2,10,1.4460495,['Target'],475266,,,,,,,,,,10,5,1.7930591,['Target'],475266,,22,10,3.1380626,['Target'],475266
10,5,1.7930591,['Target'],475266,,,,,,,,,,,3,5,1.4133482,['Target'],475266,,,,,,,,,,13,5,1.4980627,['Target'],475266,,26,10,1.6524527,['Target'],475266
11,10,3.0846375,['Target'],475266,,,,,,,,,,,4,5,1.7136473,['Target'],475266,,,,,,,,,,14,5,2.1665608,['Target'],475266,,27,10,1.5228549,['Target'],475266
12,10,2.3916056,['Target'],475266,,,,,,,,,,,5,10,1.6709632,['Target'],475266,,,,,,,,,,15,5,2.8798574,['Target'],475266,,30,10,1.9540364,['Target'],475266
13,5,1.4980627,['Target'],475266,,,,,,,,,,,6,5,1.6300701,['Target'],475266,,,,,,,,,,16,5,1.9852111,['Target'],475266,,31,10,2.0906294,['Target'],475266
14,5,2.1665608,['Target'],475266,,,,,,,,,,,7,5,1.5659875,['Target'],475266,,,,,,,,,,18,5,1.4398589,['Target'],475266,,32,10,3.473031,['Target'],475266
15,5,2.8798574,['Target'],475266,,,,,,,,,,,8,5,1.5103203,['Target'],475266,,,,,,,,,,19,5,1.5267954,['Target'],475266,,33,10,2.0760937,['Target'],475266
16,5,1.9852111,['Target'],475266,,,,,,,,,,,9,10,1.4289302,['Target'],475266,,,,,,,,,,23,5,2.465675,['Target'],475266,,34,10,1.9724163,['Target'],475266
17,10,2.2535125,['Target'],475266,,,,,,,,,,,10,5,1.7930591,['Target'],475266,,,,,,,,,,24,5,1.837032,['Target'],475266,,35,10,1.6510577,['Target'],475266
18,5,1.4398589,['Target'],475266,,,,,,,,,,,11,10,3.0846375,['Target'],475266,,,,,,,,,,25,5,1.9482847,['Target'],475266,,37,10,2.0121545,['Target'],475266
19,5,1.5267954,['Target'],475266,,,,,,,,,,,12,10,2.3916056,['Target'],475266,,,,,,,,,,28,5,2.5317903,['Target'],475266,,38,10,4.1942254,['Target'],475266
20,10,2.5041919,['Target'],475266,,,,,,,,,,,13,5,1.4980627,['Target'],475266,,,,,,,,,,29,5,1.415054,['Target'],475266,,39,10,3.4051257,['Target'],475266
21,10,2.718237,['Target'],475266,,,,,,,,,,,14,5,2.1665608,['Target'],475266,,,,,,,,,,36,5,2.0657714,['Target'],475266,,42,10,2.1713545,['Target'],475266
22,10,3.1380626,['Target'],475266,,,,,,,,,,,15,5,2.8798574,['Target'],475266,,,,,,,,,,40,5,2.6654416,['Target'],475266,,43,10,2.7105891,['Target'],475266
23,5,2.465675,['Target'],475266,,,,,,,,,,,16,5,1.9852111,['Target'],475266,,,,,,,,,,41,5,3.1327534,['Target'],475266,,44,10,1.9221963,['Target'],475266
24,5,1.837032,['Target'],475266,,,,,,,,,,,17,10,2.2535125,['Target'],475266,,,,,,,,,,47,5,1.9601115,['Target'],475266,,45,10,1.706548,['Target'],475266
25,5,1.9482847,['Target'],475266,,,,,,,,,,,18,5,1.4398589,['Target'],475266,,,,,,,,,,48,5,1.6132992,['Target'],475266,,46,10,1.551792,['Target'],475266
26,10,1.6524527,['Target'],475266,,,,,,,,,,,19,5,1.5267954,['Target'],475266,,,,,,,,,,50,5,1.6381254,['Target'],475266,,49,10,2.2046509,['Target'],475266
27,10,1.5228549,['Target'],475266,,,,,,,,,,,20,10,2.5041919,['Target'],475266,,,,,,,,,,53,5,1.5827526,['Target'],475266,,51,10,1.573573,['Target'],475266
28,5,2.5317903,['Target'],475266,,,,,,,,,,,21,10,2.718237,['Target'],475266,,,,,,,,,,54,5,1.4205737,['Target'],475266,,52,10,2.3244789,['Target'],475266
29,5,1.415054,['Target'],475266,,,,,,,,,,,22,10,3.1380626,['Target'],475266,,,,,,,,,,55,5,1.7211283,['Target'],475266,,58,10,1.3532964,['Target'],475266
30,10,1.9540364,['Target'],475266,,,,,,,,,,,23,5,2.465675,['Target'],475266,,,,,,,,,,56,5,1.6487751,['Target'],475266,,59,10,1.0395967,['Target'],475266
31,10,2.0906294,['Target'],475266,,,,,,,,,,,24,5,1.837032,['Target'],475266,,,,,,,,,,57,5,2.8276151,['Target'],475266,,62,10,1.8763916,['Target'],475266
32,10,3.473031,['Target'],475266,,,,,,,,,,,25,5,1.9482847,['Target'],475266,,,,,,,,,,60,5,1.3511159,['Target'],475266,,63,10,2.4153722,['Target'],475266
33,10,2.0760937,['Target'],475266,,,,,,,,,,,26,10,1.6524527,['Target'],475266,,,,,,,,,,61,5,1.4319481,['Target'],475266,,66,10,3.306972,['Target'],475266
34,10,1.9724163,['Target'],475266,,,,,,,,,,,27,10,1.5228549,['Target'],475266,,,,,,,,,,64,5,1.6744153,['Target'],475266,,67,10,1.9418972,['Target'],475266
35,10,1.6510577,['Target'],475266,,,,,,,,,,,28,5,2.5317903,['Target'],475266,,,,,,,,,,65,5,2.2065094,['Target'],475266,,69,10,1.2054721,['Target'],475266
36,5,2.0657714,['Target'],475266,,,,,,,,,,,29,5,1.415054,['Target'],475266,,,,,,,,,,68,5,1.798123,['Target'],475266,,70,10,2.1392508,['Target'],475266
37,10,2.0121545,['Target'],475266,,,,,,,,,,,30,10,1.9540364,['Target'],475266,,,,,,,,,,74,5,1.923282,['Target'],475266,,71,10,1.4605878,['Target'],475266
38,10,4.1942254,['Target'],475266,,,,,,,,,,,31,10,2.0906294,['Target'],475266,,,,,,,,,,76,5,1.8364608,['Target'],475266,,72,10,2.0073265,['Target'],475266
39,10,3.4051257,['Target'],475266,,,,,,,,,,,32,10,3.473031,['Target'],475266,,,,,,,,,,79,5,2.1817953,['Target'],475266,,73,10,1.7881623,['Target'],475266
