study_word,test,reference,condition,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time
,n_ne,nine,P,nine,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.306253500049934]
,_i_g,ring,P,ring,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.9451531999511644]
,_es_,desk,NP,best,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[5.627368099987507]
,_ _ ll,cell,NP,cell,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.5779841999756172]
,_ian_,piano,P,piano,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.6100076999282464]
,ap_l_ ,apple,P,apple,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.3804145000176504]
,f_o_e_,flower,NP,flower,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.4254217999987304]
,s_o_d,sword,NP,sword,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[4.309759299969301]
,p_p_r,paper,NP,piper,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.52966490003746]
,c_s_i_n,cushion,P,cushion,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.010663599940017]
,w_ _m,worm,P,worm,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.044525200035423]
,f_ _ e,fire,NP,fire,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.2941298000514507]
,_oo_,book,P,book,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.5118152999784797]
,a_ _ y,army,NP,away,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.325913699925877]
,t_g_r,tiger,P,tiger,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[4.245940600056201]
,_a_e,vase,P,vase,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.212691399967298]
,c_m_ _ a,camera,NP,camora,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[5.841884900000878]
,cl_c_,clock,NP,click,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.7792153999907896]
,h_r_e,horse,NP,horde,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.861883100005798]
,t_b_e,table,P,table,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.963678800035268]
,w_ _m,worm,P,worm,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.5603564999764785]
,c_m_ _ a,camera,NP,camera,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.0290152999805287]
,s_o_d,sword,NP,sword,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.8776548999594525]
,_i_g,ring,P,ring,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.311587300035171]
,t_b_e,table,P,table,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[1.9775222999742255]
,_a_e,vase,P,vase,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.0448455000296235]
,_ _ ll,cell,NP,cell,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.262258099974133]
,t_g_r,tiger,P,tiger,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.0264045998919755]
,f_ _ e,fire,NP,free,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[4.613073499989696]
,a_ _ y,army,NP,army,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.69381169998087]
,_ian_,piano,P,piano,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.213380999979563]
,p_p_r,paper,NP,paper,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[1.5270460000028834]
,_es_,desk,NP,desk,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.761305599939078]
,f_o_e_,flower,NP,flower,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.1805491999257356]
,n_ne,nine,P,nince,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[1.7775675999000669]
,_oo_,book,P,book,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.829393499996513]
,h_r_e,horse,NP,horse,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.0624211999820545]
,cl_c_,clock,NP,clock,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.679241899983026]
,ap_l_ ,apple,P,apple,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.611491300049238]
,c_s_i_n,cushion,P,cushion,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.361177199985832]
,t_b_e,table,P,table,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.0126962999347597]
,_i_g,ring,P,ring,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[1.6459568000864238]
,f_ _ e,fire,NP,fire,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.56151570007205]
,c_s_i_n,cushion,P,cushion,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.4775522999698296]
,c_m_ _ a,camera,NP,camera,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[3.3282675999216735]
,h_r_e,horse,NP,horde,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.795402199961245]
,_ian_,piano,P,piano,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.477806300041266]
,p_p_r,paper,NP,paper,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.1792068999493495]
,t_g_r,tiger,P,tiger,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[1.6456151000456885]
,s_o_d,sword,NP,sword,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[1.9797326000407338]
,_a_e,vase,P,vase,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.162715599988587]
,w_ _m,worm,P,worm,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.04539909993764]
,ap_l_ ,apple,P,apple,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[1.7262868999969214]
,a_ _ y,army,NP,away,[0.04583333333333333],[-0.3013888888888889],[1],[0],[0],[2.779652600060217]
,_es_,desk,NP,desk,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[2.3764474999625236]
,f_o_e_,flower,NP,flower,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[3.5960616000229493]
,cl_c_,clock,NP,clock,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[1.9114158999873325]
,n_ne,nine,P,nine,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[1.6117980999406427]
,_ _ ll,cell,NP,ball,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[2.8949888999341056]
,_oo_,book,P,book,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[2.0284213999984786]
,h_r_e,horse,NP,horpe,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[3.9453433000016958]
,c_m_ _ a,camera,NP,camera,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[1.8763402999611571]
,c_s_i_n,cushion,P,cushion,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[3.4123024999862537]
,t_b_e,table,P,table,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[2.0440184000181034]
,_ _ ll,cell,NP,,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[1.6290875000413507]
,a_ _ y,army,NP,army,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[3.4280607000691816]
,s_o_d,sword,NP,sword,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[1.9768761000595987]
,f_o_e_,flower,NP,flower,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[3.3603388000046834]
,w_ _m,worm,P,worm,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[2.661116699920967]
,p_p_r,paper,NP,,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[1.2444982000160962]
,t_g_r,tiger,P,tiger,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[3.279088499955833]
,_a_e,vase,P,vase,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[2.0286248000338674]
,n_ne,nine,P,nine,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[1.528103500022553]
,ap_l_ ,apple,P,apple,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[1.7607473999960348]
,_i_g,ring,P,ring,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[1.9442449000198394]
,f_ _ e,fire,NP,fade,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[6.127006100025028]
,cl_c_,clock,NP,clock,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[2.0788388999644667]
,_ian_,piano,P,piano,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[1.7605958000058308]
,_oo_,book,P,book,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[2.2460379999829456]
,_es_,desk,NP,best,[0.02638888888888889],[-0.2847222222222222],[1],[0],[0],[3.1955701999831945]
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,prop of non prime hit,,0.66,25/38,,,,,,
,prop of hit in primed words,,0.98,39/40,,,,,,
,,prime score,0.32,,,,,,,
